name,year,seasons,url,image
Fargo,,,,
Twin Peaks,,,,
Black Mirror,,,,
Mad Men,,,,
Vikings,,,,
Game of Thrones,,,,
Bates Motel,2016,4, https://www.netflix.com/browse?jbv=70272479&jbp=3&jbr=17,http://is5.mzstatic.com/image/thumb/Music118/v4/25/09/7f/25097fc7-8f63-1242-b0c9-6f1a9ce58c2a/source/1200x630bb.jpg
Rick and Morty,,,,
Dark,,,,
Narcos,,,,
The OA,2016,1,https://www.netflix.com/browse?jbv=80044950&jbp=1&jbr=17,https://i2.wp.com/www.elblogdeyes.com/wp-content/uploads/2016/12/oa.jpg
Sense 8,,,,
Stranger Things,,,,
Orange Is the New Black,,,,
Breaking Bad,,,,
Mind hunter,,,,
Grace and Franke,,,,
Las chicas del cable,,,,
Abstract,,,,
