mag,location,name,date,time,lat,lon,ref,img,url
"9,5","Bio-Bio, Chile",Valdivia Earthquake,22-05-60,19:11,"38,14°S","73,41°W","Kanamori & Anderson, 1975",http://www.memoriachilena.cl/602/articles-71080_thumbnail.thumb_iTwitter.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official19600522191120_30
"9,2",Southern Alaska,1964 Great Alaska Earthquake,28-03-64,3:36,"60,91°N","147,34°W","Kanamori & Anderson, 1975",https://upload.wikimedia.org/wikipedia/commons/4/4e/AlaskaQuake-FourthAve.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official19640328033616_30
"9,1",Off the West Coast of Northern Sumatra,Sumatra-Andaman Islands Earthquake,26-12-04,0:58,"3,30°N","95,98°E","Duputel et al., 2012",https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/US_Navy_050102-N-9593M-040_A_village_near_the_coast_of_Sumatra_lays_in_ruin_after_the_Tsunami_that_struck_South_East_Asia.jpg/1200px-US_Navy_050102-N-9593M-040_A_village_near_the_coast_of_Sumatra_lays_in_ruin_after_the_Tsunami_that_struck_South_East_Asia.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official20041226005853450_30
"9,1","Near the East Coast of Honshu, Japan",Tohoku Earthquake,11-03-11,5:46,"38,30°N","142,37°E","Duputel et al., 2012",http://www.japansociety.org.uk/wp-content/uploads/2011/03/191102_182750075103717_182740125104712_433276_3988833_o1.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official20110311054624120_30
9,"Off the East Coast of the Kamchatka Peninsula, Russia",Kamchatka,04-11-52,16:58,"52,62°N","159,78°E","Kanamori, 1976",https://st-listas.20minutos.es/images/2011-03/280963/2928171_640px.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official19521104165830_30
"8,8","Offshore Bio-Bio, Chile",Maule Earthquake,27-02-10,6:34,"36,12°S","72,90°W","Duputel et al., 2012",http://news.bbc.co.uk/media/images/47395000/jpg/_47395769_008864239-1.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official20100227063411530_30
"8,8",Near the Coast of Ecuador,1906 Ecuador–Colombia Earthquake,31-01-06,15:36,"0,96°N","79,37°W","Kanamori, 1977",https://img.gestion.pe/files/ec_article_multimedia_gallery/uploads/2017/11/15/5a0c73248a913.jpeg,https://earthquake.usgs.gov/earthquakes/eventpage/official19060131153610_30
"8,7","Rat Islands, Aleutian Islands, Alaska",Rat Islands Earthquake,04-02-65,5:01,"51,25°N","178,72°E","Kanamori & Anderson, 1975",https://i.pinimg.com/originals/3d/4b/f5/3d4bf57c211239b8affd914c28071e53.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official19650204050122_30
"8,6",Eastern Xizang-India border region,"Assam, Tibet",15-08-50,14:09,"28,36°N","96,45°E","Kanamori, 1977",http://www.hi-likes.com/cms/fotoalbum/3070.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official19500815140934_30
"8,6",off the West Coast of Northern Sumatra,,11-04-12,8:39,"2,33°N","93,06°E","Duputel et al., 2012",https://i.ytimg.com/vi/dTMGWeBK1Yg/maxresdefault.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official20120411083836720_20
"8,6","Northern Sumatra, Indonesia",Nias Earthquake,28-03-05,16:10,"2,09°N","97,11°E",NEIC,https://static1.squarespace.com/static/53e8c019e4b0e71a10da0a32/54c91a85e4b0c5c030d94778/54c91b37e4b05d3d3a1f1e85/1422543809509/BandaAcehFinal02.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official20050328160936530_30
"8,6","Andreanof Islands, Aleutian Islands, Alaska",,09-03-57,14:23,"51,50°N","175,63°W","Johnson et al., 1994",https://secure-images.rarenewspapers.com/ebayimgs/4.42.2009/image042.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official19570309142233_30
"8,6",South of Alaska,Unimak Island Earthquake,01-04-46,12:29,"53,49°N","162,83°W",Lopez & Okal. 2006,https://www.wsspc.org/wp-content/uploads/2014/04/HiloPier_CreditNOAAretouched.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official19460401122901_30
"8,5",Banda Sea,,01-02-38,19:04,"5,05°S","131,61°E","Okal & Reymond, 2003",http://www.elheraldo.hn/mundo/834373-217/los-terremotos-m%C3%A1s-intensos-del-mundo,https://earthquake.usgs.gov/earthquakes/eventpage/official19380201190422_30#executive
"8,5","Atacama, Chile",Chile-Argentina Border,11-11-22,4:33,"28,29°S","69,85°W","Kanamori, 1977",http://www.memoriachilena.cl/602/articles-3576_recurso_img1.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official19221111043251_30
"8,5",Kuril Islands,,13-10-63,5:18,"44,87°N","149,48°E","Kanamori & Anderson, 1975",https://www.ngdc.noaa.gov/hazard/icons/med_res/37/37_746.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official19631013051759_30
"8,4","Near the East Coast of Kamchatka Peninsula, Russia","Kamchatka, Russia",03-02-23,16:02,"54,49°N","160,47°E",Okal. 1992,https://cdni.rt.com/files/2017.03/article/58db3bd0c461883f7e8b460f.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official19230203160150_30
"8,4","Southern Sumatra, Indonesia",,12-09-07,11:10,"4,44°S","101,37°E",NEIC,http://graphics8.nytimes.com/images/2009/09/30/world/01quake_600a.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official20070912111026830_34
"8,4",Near the Coast of Southern Peru,Arequipa Earthquake,23-06-01,20:33,"16,27°S","73,64°W","Duputel et al., 2012",http://www.lucidez.pe/wp-content/uploads/2015/08/terremoto-ica.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official20010623203314130_33
"8,4","Off the East Coast of Honshu, Japan",Sanriku,02-03-33,17:31,"39,21°N","144,59°E","Kanamori, 1971",http://www.enea.it/it/seguici/pubblicazioni/EAI/anno-2012/n.-2-marzo-aprile-2012/lessons-from-the-tohoku-earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/official19330302173100_30
